country,date,price,year,quarter
Colombia,1992-06-30,86.09,1992,2
United Kingdom,1992-06-30,46.87,1992,2
Italy,1992-06-30,84.95,1992,2
South Korea,1992-06-30,129.78,1992,2
Norway,1992-06-30,35.9,1992,2
New Zealand,1992-06-30,46.79,1992,2
Sweden,1992-06-30,48.31,1992,2
United States,1992-06-30,85.97,1992,2
South Africa,1992-06-30,51.29,1992,2
Canada,1992-09-30,60.51,1992,3
Switzerland,1992-09-30,98.42,1992,3
Colombia,1992-09-30,83.8,1992,3
United Kingdom,1992-09-30,47.14,1992,3
Italy,1992-09-30,85.96,1992,3
South Korea,1992-09-30,126.51,1992,3
Norway,1992-09-30,35.99,1992,3
New Zealand,1992-09-30,46.93,1992,3
Sweden,1992-09-30,46.76,1992,3
United States,1992-09-30,85.17,1992,3
South Africa,1992-09-30,49.5,1992,3
Canada,1992-12-31,61.55,1992,4
Switzerland,1992-12-31,96.34,1992,4
Colombia,1992-12-31,84.28,1992,4
United Kingdom,1992-12-31,45.02,1992,4
Italy,1992-12-31,85.86,1992,4
South Korea,1992-12-31,126.26,1992,4
Norway,1992-12-31,34.92,1992,4
New Zealand,1992-12-31,46.86,1992,4
Sweden,1992-12-31,43.24,1992,4
United States,1992-12-31,84.84,1992,4
South Africa,1992-12-31,50.06,1992,4
Canada,1993-03-31,61.64,1993,1
Switzerland,1993-03-31,93.71,1993,1
Colombia,1993-03-31,82.92,1993,1
United Kingdom,1993-03-31,45.25,1993,1
Italy,1993-03-31,85.7,1993,1
South Korea,1993-03-31,123.48,1993,1
Norway,1993-03-31,33.32,1993,1
New Zealand,1993-03-31,47.31,1993,1
Sweden,1993-03-31,40.09,1993,1
United States,1993-03-31,84.37,1993,1
South Africa,1993-03-31,49.92,1993,1
Canada,1993-06-30,61.52,1993,2
Switzerland,1993-06-30,93.14,1993,2
Colombia,1993-06-30,84.89,1993,2
United Kingdom,1993-06-30,44.74,1993,2
Italy,1993-06-30,85.37,1993,2
South Korea,1993-06-30,119.99,1993,2
Norway,1993-06-30,34.68,1993,2
New Zealand,1993-06-30,47.46,1993,2
Sweden,1993-06-30,39.88,1993,2
United States,1993-06-30,84.1,1993,2
South Africa,1993-06-30,48.32,1993,2
Canada,1993-09-30,59.93,1993,3
Switzerland,1993-09-30,90.92,1993,3
Colombia,1993-09-30,87.84,1993,3
United Kingdom,1993-09-30,45.57,1993,3
Italy,1993-09-30,85.34,1993,3
South Korea,1993-09-30,117.53,1993,3
Norway,1993-09-30,35.98,1993,3
New Zealand,1993-09-30,48.12,1993,3
Sweden,1993-09-30,39.7,1993,3
United States,1993-09-30,84.41,1993,3
South Africa,1993-09-30,48.58,1993,3
Canada,1993-12-31,60.36,1993,4
Switzerland,1993-12-31,90.94,1993,4
Colombia,1993-12-31,89.78,1993,4
United Kingdom,1993-12-31,44.64,1993,4
Italy,1993-12-31,83.59,1993,4
South Korea,1993-12-31,115.77,1993,4
Norway,1993-12-31,37.01,1993,4
New Zealand,1993-12-31,49.13,1993,4
Sweden,1993-12-31,39.82,1993,4
United States,1993-12-31,84.56,1993,4
South Africa,1993-12-31,48.89,1993,4
Canada,1994-03-31,63.42,1994,1
Switzerland,1994-03-31,92.01,1994,1
Colombia,1994-03-31,91.91,1994,1
United Kingdom,1994-03-31,45.12,1994,1
Israel,1994-03-31,89.44,1994,1
Italy,1994-03-31,82.09,1994,1
South Korea,1994-03-31,112.57,1994,1
Norway,1994-03-31,38.09,1994,1
New Zealand,1994-03-31,51.9,1994,1
Sweden,1994-03-31,40.34,1994,1
